Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Almond;1012001;U38;1939;1944;1990;1990;2;5;0;2;0;5;0;u38_almond;1939;1970;1999;x
Akin;1012002;U38;1939;1990;1990;1990;3;5;0;1;0;5;0;u38_akin;1939;1970;1999;x
Beaty;1012003;U38;1939;1990;1990;1990;3;5;0;1;0;5;0;u38_beaty;1939;1970;1999;x
Brooks;1012004;U38;1942;1946;1990;1990;3;7;128;2;0;5;0;u38_brooks;1942;1970;1999;x
Buckner;1012005;U38;1939;1944;1954;1990;1;7;20;2;0;5;0;u38_buckner;1939;1970;1999;x
Casey;1012006;U38;1941;1990;1990;1990;3;6;33;1;0;5;0;u38_casey;1941;1970;1999;x
Clark;1012007;U38;1939;1942;1944;1990;1;9;4;3;0;5;0;u38_clark;1939;1970;1999;x
Collins J.L.;1012008;U38;1941;1945;1948;1990;1;8;20;3;0;5;0;u38_collins;1941;1970;1999;x
Crittenberger;1012009;U38;1939;1942;1990;1990;2;7;128;2;0;5;0;u38_crittenberger;1939;1970;1999;x
Curtis;1012010;U38;1939;1990;1990;1990;3;5;256;1;0;5;0;u38_curtis;1939;1970;1999;x
del Valle;1012011;U38;1939;1946;1990;1990;2;5;260;3;0;5;0;u38_delvalle;1939;1970;1999;x
DeWitt;1012012;U38;1930;1939;1943;1990;1;7;4;3;0;5;0;u38_dewitt;1930;1970;1999;x
Draper;1012013;U38;1939;1990;1990;1990;3;5;1;1;0;5;0;u38_draper;1939;1970;1999;x
Eichelberger;1012014;U38;1942;1942;1944;1990;2;6;4;3;0;5;0;u38_eichelberger;1942;1970;1999;x
Fellers;1012015;U38;1939;1990;1990;1990;3;5;0;1;0;5;0;u38_fellers;1939;1970;1999;x
Gaither;1012016;U38;1943;1956;1990;1990;2;5;256;2;0;5;0;u38_gaither;1943;1970;1999;x
Griswold;1012017;U38;1939;1945;1990;1990;2;5;5;2;0;5;0;u38_griswold;1939;1970;1999;x
Handy;1012018;U38;1940;1944;1945;1990;2;7;4;3;0;5;0;u38_handy;1940;1970;1999;x
Harmon;1012019;U38;1939;1946;1990;1990;2;6;128;2;0;5;0;u38_harmon;1939;1970;1999;x
Holcomb;1012020;U38;1930;1930;1942;1990;1;6;768;2;0;5;0;u38_holcomb;1930;1965;1999;x
Itschner;1012021;U38;1945;1949;1990;1990;2;5;32;1;0;5;0;u38_itschner;1945;1990;1999;x
Leach;1012022;U38;1939;1990;1990;1990;3;6;513;1;0;5;0;u38_leach;1939;1955;1999;x
Kean;1012023;U38;1942;1943;1990;1990;2;6;4;2;0;5;0;u38_kean;1942;1970;1999;x
Krueger;1012024;U38;1930;1939;1941;1990;1;5;4;3;0;5;0;u38_krueger;1930;1970;1999;x
Keyes;1012025;U38;1939;1945;1990;1990;2;7;128;2;0;5;0;u38_keyes;1939;1970;1999;x
MacArthur;1012026;U38;1939;1939;1941;1944;0;9;7;4;0;5;0;u38_macarthur;1930;1964;1999;x
MacNider;1012027;U38;1939;1951;1990;1990;3;6;1;2;0;5;0;u38_macnider;1939;1970;1999;x
Marquat;1012028;U38;1944;1990;1990;1990;3;5;16;2;0;5;0;u38_marquat;1944;1970;1999;x
Marshall R.J.;1012029;U38;1945;1990;1990;1990;3;5;1;2;0;5;0;u38_marshall;1945;1970;1999;x
McCain;1012030;U38;1944;1990;1990;1990;3;5;2;0;0;5;0;u38_mccain;1944;1970;1999;x
Medaris;1012031;U38;1939;1990;1990;1990;3;5;64;2;0;5;0;u38_medaris;1939;1970;1999;x
Miles;1012032;U38;1939;1946;1990;1990;2;5;16;2;0;5;0;u38_miles;1939;1970;1999;x
Mueller;1012033;U38;1939;1990;1990;1990;3;4;3;1;0;5;0;u38_mueller;1939;1970;1999;x
Noce;1012034;U38;1939;1948;1990;1990;2;5;33;1;0;5;0;u38_noce;1939;1970;1999;x
O'Daniel;1012035;U38;1939;1944;1990;1990;2;6;4;2;0;5;0;u38_odaniel;1939;1970;1999;x
Price;1012036;U38;1939;1948;1990;1990;2;5;258;2;0;5;0;u38_price;1939;1970;1999;x
Richardson;1012037;U38;1939;1940;1943;1990;1;5;4;1;0;5;0;u38_richardson;1939;1970;1999;x
Shepherd;1012038;U38;1939;1950;1952;1990;1;7;260;2;0;5;0;u38_shepherd;1939;1970;1999;x
Smith R.C.;1012039;U38;1939;1990;1990;1990;3;5;2;1;0;5;0;u38_smith;1939;1970;1999;x
Smith T.;1012040;U38;1939;1990;1990;1990;3;5;4;1;0;5;0;u38_smitht;1939;1970;1999;x
Strong;1012041;U38;1938;1944;1990;1990;3;7;256;2;0;5;0;u38_strong;1938;1945;1999;x
Sutherland;1012042;U38;1939;1990;1990;1990;2;5;0;1;0;5;0;u38_sutherland;1939;1970;1999;x
Thomas;1012043;U38;1939;1952;1990;1990;2;5;260;2;0;5;0;u38_thomas;1939;1970;1999;x
Thurmond;1012044;U38;1945;1990;1990;1990;3;5;256;0;0;5;0;u38_thurmond;1945;1970;1999;x
Van Fleet;1012045;U38;1944;1946;1990;1990;3;7;4;3;0;5;0;u38_vanfleet;1944;1970;1999;x
Van Horn Moseley;1012046;U38;1936;1936;1939;1990;1;5;512;2;0;5;0;u38_moseley;1939;1970;1999;x
Walker;1012047;U38;1946;1990;1990;1990;3;5;0;2;0;5;0;u38_walker;1946;1970;1999;x
Wedemeyer;1012048;U38;1939;1943;1946;1990;1;7;5;3;0;5;0;u38_wedemeyer;1939;1970;1999;x
